,regulator,target,weight
1,Hara06385,Hara18304,0.105330927
2,Hara16410,Hara18304,0.096529889
3,Hara04317,Hara09837,0.087947977
4,Hara04317,Hara07185,0.085977129
5,Hara00658,Hara17287,0.084984454
6,Hara22035,Hara28689,0.083160082
7,Hara00618,Hara30143,0.082226595
8,Hara22875,Hara18759,0.081340136
9,Hara11788,Hara01464,0.079920251
10,Hara19523,Hara09255,0.079399465
11,Hara16410,Hara20263,0.078508185
12,Hara32662,Hara07157,0.078039415
13,Hara16410,Hara17614,0.077508455
14,Hara27546,Hara13502,0.077175304
15,Hara07758,Hara22458,0.076283051
16,Hara11788,Hara13444,0.07577543
17,Hara20665,Hara03875,0.07425025
18,Hara24572,Hara21599,0.074084869
19,Hara04110,Hara11224,0.074053605
20,Hara00593,Hara22568,0.073471164
21,Hara24593,Hara15719,0.073087294
22,Hara03211,Hara03504,0.072801807
23,Hara27248,Hara26108,0.072013105
24,Hara04317,Hara00758,0.071827124
25,Hara25939,Hara32994,0.071788426
26,Hara25686,Hara03837,0.071668502
27,Hara16410,Hara15738,0.071273279
28,Hara13182,Hara30338,0.071099657
29,Hara26757,Hara04348,0.070266337
30,Hara00593,Hara03504,0.069853422
31,Hara04317,Hara31740,0.069800448
32,Hara13182,Hara01896,0.069447181
33,Hara04317,Hara15138,0.069091158
34,Hara15882,Hara16154,0.069075094
35,Hara06385,Hara08852,0.068794499
36,Hara13182,Hara03837,0.068469892
37,Hara19777,Hara22568,0.067931402
38,Hara25107,Hara12583,0.06748392
39,Hara16427,Hara27223,0.066967813
40,Hara13058,Hara08813,0.066663867
41,Hara22035,Hara02243,0.06647389
42,Hara03150,Hara11863,0.066463448
43,Hara04317,Hara22651,0.065752355
44,Hara00804,Hara19526,0.065173801
45,Hara09347,Hara26108,0.065088143
46,Hara13344,Hara11653,0.064937077
47,Hara09347,Hara05765,0.064404688
48,Hara32860,Hara28689,0.063969294
49,Hara15571,Hara04314,0.063678243
50,Hara03211,Hara16575,0.063621097
51,Hara13058,Hara23802,0.063115607
52,Hara17445,Hara30185,0.062834602
53,Hara20172,Hara13502,0.06277991
54,Hara13182,Hara26881,0.062779255
55,Hara22035,Hara25104,0.062769961
56,Hara27980,Hara16279,0.062743392
57,Hara00593,Hara13145,0.062647532
58,Hara03788,Hara08752,0.062531674
59,Hara00682,Hara04782,0.062376712
60,Hara30008,Hara18162,0.062328184
61,Hara30008,Hara27946,0.06224337
62,Hara03150,Hara01019,0.062179123
63,Hara22433,Hara01799,0.061988794
64,Hara03211,Hara21937,0.061947825
65,Hara17606,Hara23036,0.061912923
66,Hara08357,Hara28689,0.06177035
67,Hara17606,Hara06777,0.061697355
68,Hara16410,Hara16780,0.061582461
