gene,is_TF
Hara18304,Target
Hara09837,Target
Hara07185,Target
Hara17287,Target
Hara28689,Target
Hara30143,Target
Hara18759,Target
Hara01464,Target
Hara20263,Target
Hara07157,Target
Hara17614,Target
Hara13502,Target
Hara22458,Target
Hara13444,Target
Hara03875,Target
Hara21599,Target
Hara11224,Target
Hara22568,Target
Hara15719,Target
Hara03504,Target
Hara00758,Target
Hara32994,Target
Hara03837,Target
Hara15738,Target
Hara30338,Target
Hara04348,Target
Hara31740,Target
Hara01896,Target
Hara15138,Target
Hara16154,Target
Hara08852,Target
Hara12583,Target
Hara27223,Target
Hara08813,Target
Hara02243,Target
Hara22651,Target
Hara19526,Target
Hara11653,Target
Hara05765,Target
Hara04314,Target
Hara16575,Target
Hara23802,Target
Hara30185,Target
Hara25104,Target
Hara16279,Target
Hara13145,Target
Hara08752,Target
Hara04782,Target
Hara18162,Target
Hara27946,Target
Hara01019,Target
Hara01799,Target
Hara21937,Target
Hara23036,Target
Hara06777,Target
Hara16780,Target
Hara27614,Target
Hara27328,Target
Hara27912,Target
Hara25708,Target
Hara17504,Target
Hara15268,Target
Hara08886,Target
Hara00537,Target
Hara30149,Target
Hara25602,Target
Hara13200,Target
Hara25944,Target
Hara31474,Target
Hara12788,Target
Hara08232,Target
Hara09480,Target
Hara05676,Target
Hara22579,Target
Hara26042,Target
Hara13041,Target
Hara23750,Target
Hara25664,Target
Hara12533,Target
Hara20268,Target
Hara32582,Target
Hara00666,Target
Hara15167,Target
Hara26421,Target
Hara25448,Target
Hara12356,Target
Hara13382,Target
Hara25813,Target
Hara06871,Target
Hara26926,Target
Hara19936,Target
Hara28483,Target
Hara21825,Target
Hara08953,Target
Hara17106,Target
Hara25221,Target
Hara30461,Target
Hara03473,Target
Hara33119,Target
Hara07978,Target
Hara28252,Target
Hara32984,Target
Hara18919,Target
Hara32376,Target
Hara09597,Target
Hara11646,Target
Hara08038,Target
Hara22521,Target
Hara31056,Target
Hara30052,Target
Hara26980,Target
Hara15964,Target
Hara28325,Target
Hara03544,Target
Hara16455,Target
Hara15785,Target
Hara19687,Target
Hara33028,Target
Hara25814,Target
Hara13366,Target
Hara04922,Target
Hara25881,Target
Hara11868,Target
Hara29176,Target
Hara23664,Target
Hara30736,Target
Hara03873,Target
Hara29969,Target
Hara27326,Target
Hara25113,Target
Hara21252,Target
Hara08855,Target
Hara01218,Target
Hara19784,Target
Hara09038,Target
Hara04465,Target
Hara25362,Target
Hara21033,Target
Hara15693,Target
Hara11377,Target
Hara20529,Target
Hara15648,Target
Hara32465,Target
Hara32517,Target
Hara19555,Target
Hara19507,Target
Hara20574,Target
Hara11379,Target
Hara05152,Target
Hara04828,Target
Hara03072,Target
Hara04837,Target
Hara32522,Target
Hara16822,Target
Hara20188,Target
Hara09234,Target
Hara20204,Target
Hara00080,Target
Hara19431,Target
Hara16767,Target
Hara04215,Target
Hara04508,Target
Hara07952,Target
Hara01461,Target
Hara32663,Target
Hara08820,Target
Hara32145,Target
Hara16998,Target
Hara32502,Target
Hara12029,Target
Hara12536,Target
Hara27506,Target
Hara12732,Target
Hara12222,Target
Hara23449,Target
Hara07953,Target
Hara20779,Target
Hara03821,Target
Hara25825,Target
Hara03817,Target
Hara24241,Target
Hara28242,Target
Hara05171,Target
Hara10804,Target
Hara03582,Target
Hara19206,Target
Hara19262,Target
Hara32513,Target
Hara30688,Target
Hara27074,Target
Hara15283,Target
Hara00283,Target
Hara23497,Target
Hara11465,Target
Hara12645,Target
Hara11725,Target
Hara23360,Target
Hara23349,Target
Hara14702,Target
Hara25266,Target
Hara22302,Target
Hara00218,Target
Hara22389,Target
Hara05557,Target
Hara22246,Target
Hara19168,Target
Hara25219,Target
Hara13648,Target
Hara11225,Target
Hara15475,Target
Hara19644,Target
Hara19500,Target
Hara16080,Target
Hara32985,Target
Hara00618,TF
Hara32662,TF
Hara03211,TF
Hara25686,TF
Hara13182,TF
Hara15571,TF
Hara27980,TF
Hara25815,TF
Hara04437,TF
Hara12933,TF
Hara19785,TF
Hara33143,TF
Hara26565,TF
Hara27734,TF
Hara04790,TF
Hara16676,TF
Hara12687,TF
Hara27625,TF
Hara27532,TF
Hara25416,TF
Hara16410,TF
Hara15882,TF
Hara08357,TF
Hara11850,TF
Hara16253,TF
Hara28266,TF
Hara04094,TF
Hara22769,TF
Hara03430,TF
Hara04317,TF
Hara20665,TF
Hara03453,TF
Hara04652,TF
Hara00123,TF
Hara07758,TF
Hara03150,TF
Hara00804,TF
Hara08970,TF
Hara11447,TF
Hara29098,TF
Hara17593,TF
Hara00800,TF
Hara16499,TF
Hara13405,TF
Hara11863,TF
Hara33197,TF
Hara19641,TF
Hara23417,TF
Hara12509,TF
Hara28841,TF
Hara26059,TF
Hara06385,TF
Hara24593,TF
Hara16427,TF
Hara00682,TF
Hara22035,TF
Hara07673,TF
Hara25939,TF
Hara03788,TF
Hara32359,TF
Hara17237,TF
Hara27955,TF
Hara15109,TF
Hara12916,TF
Hara05672,TF
Hara12711,TF
Hara08075,TF
Hara19376,TF
Hara27739,TF
Hara27546,TF
Hara17445,TF
Hara09228,TF
Hara33283,TF
Hara26063,TF
Hara22875,TF
Hara19523,TF
Hara32860,TF
Hara01926,TF
Hara27536,TF
Hara09255,TF
Hara23088,TF
Hara14063,TF
Hara00658,TF
Hara11788,TF
Hara24572,TF
Hara00593,TF
Hara27248,TF
Hara26757,TF
Hara19777,TF
Hara13344,TF
Hara30008,TF
Hara22433,TF
Hara17606,TF
Hara19556,TF
Hara09450,TF
Hara12413,TF
Hara21018,TF
Hara25107,TF
Hara14165,TF
Hara09000,TF
Hara27228,TF
Hara26043,TF
Hara26108,TF
Hara12814,TF
Hara25435,TF
Hara04110,TF
Hara13058,TF
Hara09347,TF
Hara20172,TF
Hara26881,TF
Hara03315,TF
Hara24076,TF
Hara00539,TF
