regulator,target,weight_control,weight_stress,diff
Hara19785,Hara07758,0.017860465,0.051955123,0.034094658
Hara07758,Hara03453,0.015612705,0.046601364,0.03098866
Hara00658,Hara28264,0.013234543,0.045660784,0.03242624
Hara13179,Hara26509,0.012686434,0.057244069,0.044557635
Hara30133,Hara13179,0.011833974,0.050290914,0.03845694
Hara25939,Hara30133,0.011598391,0.043590836,0.031992445
Hara26509,Hara30133,0.010621292,0.042982222,0.032360931
Hara15567,Hara26509,0.010591834,0.041411111,0.030819277
Hara00804,Hara07673,0.010372825,0.042521332,0.032148506
Hara03788,Hara06385,0.010257038,0.046972986,0.036715948
Hara08357,Hara04790,0.009807112,0.049908414,0.040101302
Hara13179,Hara30133,0.009472178,0.039591758,0.03011958
Hara01926,Hara05672,0.009381936,0.040464553,0.031082617
Hara28264,Hara13182,0.009116366,0.041410981,0.032294615
Hara30133,Hara26509,0.008977818,0.03935252,0.030374702
Hara19785,Hara26509,0.00891394,0.039346244,0.030432304
Hara26509,Hara23088,0.008585167,0.044048057,0.035462891
Hara15882,Hara03788,0.008435209,0.05789827,0.049463061
Hara07966,Hara03150,0.008122063,0.040639628,0.032517565
Hara27546,Hara05672,0.008053535,0.050285623,0.042232089
Hara30133,Hara32662,0.008040624,0.053855628,0.045815004
Hara25939,Hara04110,0.007841617,0.047661964,0.039820348
Hara15567,Hara23088,0.007043671,0.03775864,0.030714969
Hara19523,Hara03150,0.006300366,0.054236222,0.047935856
Hara19785,Hara13179,0.006070352,0.039610002,0.03353965
Hara04110,Hara03150,0.00599211,0.038076681,0.032084572
Hara26757,Hara04110,0.005757036,0.036705787,0.030948751
Hara04110,Hara14165,0.004973134,0.037449952,0.032476819
Hara05722,Hara22035,0.004725488,0.036641367,0.031915879
Hara20172,Hara00601,0.004588454,0.038201172,0.033612718
Hara17237,Hara28266,0.00449295,0.047959661,0.04346671
Hara03211,Hara07673,0.004483158,0.03776002,0.033276862
Hara00584,Hara03211,0.004454875,0.039258601,0.034803726
Hara03788,Hara12687,0.004307798,0.039594002,0.035286204
Hara03150,Hara09255,0.004016931,0.034315611,0.030298681
Hara27734,Hara12933,0.003943057,0.040567542,0.036624485
Hara26509,Hara04317,0.003793773,0.036722181,0.032928408
Hara03150,Hara25939,0.003759804,0.047247318,0.043487514
Hara00593,Hara31350,0.003746332,0.039219699,0.035473367
Hara26509,Hara13179,0.003719438,0.05270099,0.048981552
Hara30757,Hara28266,0.003593024,0.038550448,0.034957423
Hara25939,Hara03430,0.003487062,0.054164972,0.05067791
Hara04317,Hara12933,0.003468039,0.055033473,0.051565434
Hara09000,Hara03430,0.003457017,0.042965748,0.039508731
Hara04790,Hara14165,0.003451635,0.053281672,0.049830037
Hara12413,Hara03150,0.003417267,0.04337263,0.039955363
Hara27546,Hara04094,0.003355036,0.034008963,0.030653927
Hara08357,Hara00601,0.003265825,0.043001807,0.039735982
Hara27872,Hara00593,0.003230491,0.034950006,0.031719515
Hara13179,Hara32662,0.003104909,0.043196611,0.040091702
Hara09255,Hara03150,0.003050048,0.034578323,0.031528274
Hara25939,Hara13179,0.002964448,0.034720165,0.031755716
Hara09228,Hara04652,0.002963154,0.03384324,0.030880086
Hara12933,Hara32662,0.002956291,0.033877543,0.030921252
Hara19785,Hara32662,0.002927872,0.053518207,0.050590336
Hara25319,Hara03150,0.002773564,0.054668364,0.0518948
Hara17361,Hara00593,0.002768278,0.035166588,0.032398311
Hara27546,Hara12687,0.002767493,0.062472451,0.059704957
Hara19641,Hara00601,0.00274265,0.042217174,0.039474524
Hara16676,Hara02954,0.002547736,0.032942387,0.030394651
Hara04317,Hara03453,0.002536796,0.065087145,0.062550349
Hara03430,Hara03150,0.002325105,0.038962146,0.036637041
Hara04317,Hara22433,0.002286596,0.047828685,0.045542089
Hara22035,Hara07673,0.002247166,0.034353703,0.032106537
Hara03430,Hara25939,0.002099245,0.052386455,0.05028721
Hara03455,Hara15109,0.002059209,0.047188322,0.045129113
Hara04652,Hara14165,0.002052064,0.040857352,0.038805287
Hara19474,Hara13179,0.002050972,0.043209625,0.041158653
Hara25319,Hara09255,0.002045204,0.037837432,0.035792228
Hara12413,Hara22433,0.001997275,0.043936146,0.041938871
Hara27739,Hara14063,0.001943649,0.033279008,0.031335359
Hara27980,Hara03788,0.001873214,0.036158427,0.034285212
Hara03788,Hara32662,0.001858804,0.034458239,0.032599434
Hara26043,Hara00593,0.001856895,0.035212303,0.033355408
Hara19474,Hara03430,0.001855007,0.044781984,0.042926976
Hara00804,Hara14165,0.001843386,0.033456827,0.03161344
Hara22035,Hara15882,0.001811005,0.037156228,0.035345223
Hara14165,Hara04652,0.001801253,0.041613383,0.03981213
Hara25939,Hara14165,0.001782867,0.045788218,0.044005351
Hara03430,Hara26509,0.001777344,0.047055419,0.045278075
Hara26270,Hara22035,0.001757003,0.033240904,0.031483902
Hara16410,Hara12687,0.00174369,0.076118408,0.074374718
Hara32662,Hara07758,0.001719604,0.033404645,0.03168504
Hara12933,Hara04317,0.001640354,0.034839683,0.033199329
Hara11161,Hara28266,0.001608148,0.036995948,0.0353878
Hara09000,Hara04110,0.001606303,0.036366905,0.034760602
Hara00123,Hara31350,0.001603065,0.036293029,0.034689964
Hara04110,Hara03430,0.001590255,0.036273404,0.034683149
Hara30133,Hara04317,0.001583553,0.040209665,0.038626112
Hara16676,Hara28266,0.001521413,0.044471468,0.042950055
Hara26043,Hara02954,0.001330238,0.03395266,0.032622423
Hara26509,Hara12933,0.001277528,0.032845051,0.031567523
Hara09000,Hara07758,0.001238622,0.04149855,0.040259928
Hara03150,Hara12933,0.001208347,0.033325668,0.032117321
Hara06385,Hara12933,0.001124709,0.040592712,0.039468002
Hara06385,Hara03788,0.001000857,0.061472474,0.060471617
Hara19376,Hara08970,0.000862812,0.044680258,0.043817446
Hara28266,Hara02954,0.000747003,0.031513625,0.030766621
Hara03455,Hara00601,0.000702058,0.033940014,0.033237956
Hara32662,Hara06385,0.000658123,0.033304808,0.032646686
Hara08970,Hara03150,0.000618853,0.038972473,0.03835362
Hara13179,Hara06385,0.000572587,0.033498216,0.032925629
Hara32662,Hara12933,0.000504636,0.033395998,0.032891362
Hara26565,Hara19474,0.000503487,0.038075826,0.037572339
Hara16676,Hara00682,0.000437354,0.038787185,0.038349832
Hara00601,Hara28264,0.000317931,0.033000334,0.032682403
Hara31350,Hara12687,0.000208602,0.03052602,0.030317418
Hara08187,Hara28266,0.000161688,0.041702257,0.041540568
Hara31350,Hara27980,0.000141257,0.037385198,0.037243942
