regulator,target,weight_control,weight_stress,diff
Hara27700,Hara22773,0.050901793,0.001148337,-0.049753456
Hara09000,Hara00601,0.049624165,0.003779387,-0.045844778
Hara27187,Hara27700,0.048701058,0.004106071,-0.044594987
Hara16253,Hara22875,0.044184874,0.010105331,-0.034079542
Hara20665,Hara25879,0.044022354,0.003700615,-0.040321739
Hara16421,Hara25582,0.041989265,0.000194323,-0.041794941
Hara28841,Hara00601,0.041857198,0.000811167,-0.041046031
Hara26757,Hara22875,0.041672659,0.000513292,-0.041159367
Hara30133,Hara26468,0.041608717,0.000332458,-0.041276259
Hara30008,Hara16442,0.041605158,0.008178272,-0.033426886
Hara25582,Hara25879,0.041220388,0.00474355,-0.036476838
Hara32974,Hara27700,0.040154129,0.00025331,-0.039900819
Hara26565,Hara22875,0.03985799,0.008010167,-0.031847823
Hara13167,Hara00903,0.039494664,0.005204483,-0.034290181
Hara27546,Hara00601,0.03900277,0.003642547,-0.035360224
Hara27980,Hara27532,0.03876216,0.002523923,-0.036238236
Hara27187,Hara00903,0.038632629,0.001299459,-0.03733317
Hara19785,Hara09460,0.038306023,0.001385314,-0.036920709
Hara25879,Hara00601,0.036593561,0.001970908,-0.034622653
Hara05717,Hara22468,0.035882859,0.001868904,-0.034013954
Hara07673,Hara13521,0.035668424,0,-0.035668424
Hara19641,Hara02954,0.035527051,0.002489647,-0.033037404
Hara04317,Hara27700,0.035455074,0.000362012,-0.035093062
Hara27250,Hara33197,0.035442299,7.39E-05,-0.035368445
Hara20665,Hara00682,0.035358106,0.004142642,-0.031215465
Hara17606,Hara16442,0.035202769,0.002618414,-0.032584355
Hara27187,Hara27532,0.035196501,0.004800659,-0.030395842
Hara22663,Hara02954,0.035143427,1.06E-05,-0.035132835
Hara19785,Hara00682,0.034860971,0.00168437,-0.033176601
Hara15567,Hara00903,0.034679576,0.001481073,-0.033198503
Hara03987,Hara31350,0.034651728,0.000840429,-0.033811299
Hara09000,Hara30133,0.033978882,0.002465928,-0.031512954
Hara04094,Hara13182,0.033839837,0.002174683,-0.031665154
Hara16676,Hara33283,0.03381005,0.001224445,-0.032585606
Hara24593,Hara21728,0.033489945,0.00164441,-0.031845535
Hara04722,Hara02954,0.03312017,0.002830277,-0.030289892
Hara25879,Hara00682,0.033072265,0.002304794,-0.030767471
Hara09228,Hara16427,0.032996122,0.002638787,-0.030357335
Hara17237,Hara22035,0.032421439,0.001506011,-0.030915428
Hara26757,Hara16427,0.032357649,0.001537506,-0.030820143
Hara10904,Hara22468,0.032017487,0.001086062,-0.030931425
Hara17606,Hara26757,0.031938526,0.000742807,-0.03119572
Hara27532,Hara26063,0.031634528,0.000425455,-0.031209073
Hara21728,Hara22468,0.031626231,0.000552455,-0.031073776
Hara30157,Hara13521,0.031536006,0,-0.031536006
Hara15411,Hara16153,0.03063079,0.00053042,-0.03010037
,,,,
,,,,
,,,,
