regulator,target,weight_control,weight_stress,diff
Hara31350,Hara14998,0.017531557,0.052194777,0.03466322
Hara04094,Hara14998,0.015778401,0.050720239,0.034941838
Hara02673,Hara14998,0.015778401,0.048121252,0.032342851
Hara14998,Hara31350,0.014175055,0.05330612,0.039131065
Hara18748,Hara25686,0.011535221,0.046163496,0.034628275
Hara22035,Hara19785,0.011254193,0.045768135,0.034513942
Hara04652,Hara12145,0.010197931,0.050705868,0.040507937
Hara16676,Hara19785,0.00570254,0.038165663,0.032463123
Hara03788,Hara24593,0.005445638,0.042636873,0.037191235
Hara26565,Hara31350,0.00515893,0.040774747,0.035615817
Hara12933,Hara33090,0.004853247,0.036056746,0.031203499
Hara25686,Hara04110,0.004786156,0.040323883,0.035537727
Hara03987,Hara04110,0.004726636,0.044486871,0.039760235
Hara31350,Hara00601,0.004358023,0.034944592,0.030586569
Hara22853,Hara04686,0.003796795,0.037208087,0.033411292
Hara00682,Hara00903,0.003582651,0.043586541,0.04000389
Hara15603,Hara14998,0.003506311,0.038525122,0.03501881
Hara12916,Hara03788,0.003220456,0.034917567,0.031697111
Hara15603,Hara31350,0.003156124,0.037738177,0.034582052
Hara02673,Hara12145,0.003154709,0.044758722,0.041604013
Hara00658,Hara13182,0.002951576,0.039060213,0.036108637
Hara25582,Hara24593,0.002901368,0.033996274,0.031094906
Hara20172,Hara12145,0.002694321,0.045932315,0.043237995
Hara13389,Hara24593,0.002602409,0.03327537,0.030672961
Hara27536,Hara30065,0.002554971,0.045304736,0.042749765
Hara28264,Hara31350,0.002546273,0.054550933,0.05200466
Hara18748,Hara12145,0.002393335,0.038264966,0.035871632
Hara10904,Hara26509,0.002384578,0.042156942,0.039772364
Hara12515,Hara30065,0.00227477,0.034596592,0.032321823
Hara26757,Hara25879,0.002097095,0.044938269,0.042841174
Hara27536,Hara10904,0.001897578,0.050929048,0.04903147
Hara16645,Hara12145,0.001862592,0.042462157,0.040599564
Hara12711,Hara26063,0.001848051,0.033487879,0.031639828
Hara16427,Hara13389,0.001807288,0.032614787,0.030807499
Hara04094,Hara12145,0.001750629,0.043712643,0.041962014
Hara32976,Hara12145,0.001658236,0.049138531,0.047480295
Hara12145,Hara16676,0.00161533,0.053422445,0.051807115
Hara20107,Hara30133,0.001582901,0.036283706,0.034700805
Hara00544,Hara15883,0.001412555,0.0357157,0.034303146
Hara16676,Hara30133,0.001376068,0.032933133,0.031557065
Hara16676,Hara12145,0.001317223,0.045494411,0.044177188
Hara22663,Hara16068,0.001286229,0.035015417,0.033729187
Hara25918,Hara12916,0.001224902,0.04358826,0.042363358
Hara32511,Hara00903,0.00115091,0.055491852,0.054340942
Hara24593,Hara31497,0.001130968,0.031952066,0.030821097
Hara21728,Hara27536,0.001111386,0.038530296,0.03741891
Hara00601,Hara31350,0.001082474,0.040335696,0.039253223
Hara04110,Hara16676,0.00106125,0.038455713,0.037394463
Hara00052,Hara19785,0.001054615,0.039174422,0.038119807
Hara21728,Hara32974,0.000961273,0.031901433,0.03094016
Hara25918,Hara27536,0.00090081,0.034386525,0.033485715
Hara27024,Hara19785,0.000735121,0.042518036,0.041782915
Hara25879,Hara30065,0.000732458,0.048459653,0.047727195
Hara00601,Hara14998,0.000701262,0.044176887,0.043475625
Hara15603,Hara12145,0.000691817,0.036092833,0.035401016
Hara27187,Hara09053,0.000607414,0.042314872,0.041707459
Hara04686,Hara12145,0.000602052,0.042462157,0.041860105
Hara27248,Hara12145,0.000593157,0.042635614,0.042042457
Hara22663,Hara26063,0.000548245,0.031158815,0.03061057
Hara00601,Hara12145,0.000517112,0.038509374,0.037992261
Hara00544,Hara33197,0.000405299,0.035524089,0.03511879
Hara08357,Hara14998,0.000350631,0.048348907,0.047998276
Hara21728,Hara12711,0.000291523,0.030942935,0.030651412
Hara31350,Hara12145,0.000213291,0.034263158,0.034049867
Hara32511,Hara20107,0.000173672,0.030647151,0.030473479
Hara14998,Hara12145,0.000120983,0.03350655,0.033385567
Hara24593,Hara09053,6.40E-05,0.033602987,0.033539005
Hara15567,Hara13179,1.10E-05,0.03186729,0.031856334
Hara08357,Hara31350,7.17E-06,0.036466305,0.03645913
Hara22853,Hara12145,0,0.047629524,0.047629524
